System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.020000,(0.068936| -0.272771| 0.317765),(0.040222| -0.936280| -0.333830| -0.101585),(0.035760| -0.266596| 0.333188),(-0.126612| -0.327247| -0.370695| -0.859921),(0.021879| -0.260664| 0.346932),(-0.229612| -0.301433| -0.549529| -0.744604),(0.000991| -0.250742| 0.372054),(-0.312031| -0.362693| -0.509507| -0.715188),(-0.006950| -0.244973| 0.390519),(-0.448612| -0.459984| -0.421810| -0.639718),(0.033664| -0.228902| 0.346042),(0.128234| -0.902902| -0.392292| -0.120130),(0.015900| -0.196813| 0.380635),(0.165706| -0.882357| -0.420939| -0.129608),(0.005378| -0.186794| 0.401896),(0.195638| -0.694734| -0.688997| -0.065987),(0.000333| -0.188836| 0.415750),(-0.202327| 0.574807| 0.792229| 0.032159),(0.048419| -0.226380| 0.349606),(0.031578| -0.898009| -0.404434| -0.170341),(0.037770| -0.192659| 0.386210),(0.048356| -0.890715| -0.416266| -0.176097),(0.029160| -0.181457| 0.411038),(-0.112456| 0.645611| 0.742273| 0.139897),(0.023269| -0.186368| 0.426081),(-0.142356| 0.440827| 0.879878| 0.105931),(0.063066| -0.229045| 0.352974),(-0.052437| -0.896264| -0.404933| -0.173176),(0.059727| -0.199191| 0.388112),(-0.027604| -0.878829| -0.439755| -0.183064),(0.054010| -0.190021| 0.412713),(-0.047116| 0.619629| 0.763311| 0.176623),(0.048258| -0.195150| 0.427517),(-0.082360| 0.443847| 0.877620| 0.161243),(0.076244| -0.236286| 0.357296),(-0.146670| -0.889730| -0.373574| -0.217512),(0.081357| -0.209350| 0.386942),(-0.185868| -0.884703| -0.377571| -0.200483),(0.081889| -0.200308| 0.405239),(0.087839| 0.647693| 0.711230| 0.258710),(0.077529| -0.202833| 0.417146),(0.024470| 0.460024| 0.845031| 0.271480)
0.040000,(-0.000023| 0.000197| -0.000042),(0.001137| -0.000589| -0.000003| 0.999999),(-0.033196| 0.006158| 0.015377),(0.285749| -0.713832| -0.382407| 0.512403),(-0.047057| 0.012086| 0.029144),(0.466705| -0.566768| -0.421483| 0.532271),(-0.067920| 0.021996| 0.054296),(0.416195| -0.507183| -0.494969| 0.569695),(-0.075873| 0.027751| 0.072767),(0.313143| -0.385108| -0.609708| 0.617972),(-0.035301| 0.043830| 0.028314),(0.057602| -0.047981| 0.083470| 0.993686),(-0.053102| 0.075815| 0.062984),(0.088780| -0.070120| 0.119173| 0.986407),(-0.063642| 0.085759| 0.084282),(0.395834| -0.029187| 0.203375| 0.895043),(-0.068699| 0.083688| 0.098128),(-0.530127| 0.007942| -0.236361| -0.814270),(-0.020550| 0.046342| 0.031901),(0.082569| -0.062492| -0.022363| 0.994373),(-0.031241| 0.079973| 0.068575),(0.094766| -0.073715| -0.007121| 0.992741),(-0.039878| 0.091167| 0.093430),(-0.471603| 0.073362| -0.107746| -0.872124),(-0.045794| 0.086319| 0.108492),(-0.663015| 0.067109| -0.169086| -0.726166),(-0.005907| 0.043672| 0.035281),(0.092361| -0.037075| -0.101781| 0.989816),(-0.009270| 0.073462| 0.070472),(0.128006| -0.054776| -0.077971| 0.987185),(-0.014983| 0.082664| 0.095093),(-0.507449| 0.087247| -0.037037| -0.856453),(-0.020739| 0.077623| 0.109932),(-0.668006| 0.098052| -0.093568| -0.731709),(0.007266| 0.036420| 0.039603),(0.076663| -0.048810| -0.207779| 0.973945),(0.012372| 0.063300| 0.069299),(0.084483| -0.019467| -0.238772| 0.967198),(0.012948| 0.072369| 0.087609),(-0.465808| 0.117133| 0.123990| -0.868291),(0.008638| 0.069937| 0.099564),(-0.645844| 0.163703| 0.048968| -0.744103)
0.060000,(-0.000093| 0.000435| -0.000123),(0.002247| -0.000756| 0.000572| 0.999997),(-0.033227| 0.006088| 0.015320),(0.287083| -0.711806| -0.385145| 0.512425),(-0.047041| 0.012002| 0.029142),(0.465914| -0.564380| -0.425033| 0.532678),(-0.067872| 0.021881| 0.054347),(0.416308| -0.505696| -0.496973| 0.569189),(-0.075909| 0.027618| 0.072808),(0.315538| -0.386077| -0.609350| 0.616500),(-0.035375| 0.043713| 0.028418),(0.057463| -0.048269| 0.083317| 0.993693),(-0.053280| 0.075520| 0.063195),(0.088644| -0.070909| 0.119393| 0.986336),(-0.063899| 0.085400| 0.084508),(0.393136| -0.030285| 0.203808| 0.896097),(-0.069012| 0.083355| 0.098341),(-0.525893| 0.009270| -0.236856| -0.816854),(-0.020633| 0.046226| 0.032037),(0.082603| -0.062284| -0.022542| 0.994379),(-0.031400| 0.079734| 0.068800),(0.093178| -0.073588| -0.007716| 0.992896),(-0.040074| 0.090951| 0.093660),(-0.468034| 0.073445| -0.107207| -0.874104),(-0.046023| 0.086191| 0.108747),(-0.657822| 0.067432| -0.168349| -0.731014),(-0.005992| 0.043559| 0.035428),(0.092486| -0.036505| -0.101832| 0.989820),(-0.009400| 0.073226| 0.070722),(0.126918| -0.053664| -0.078862| 0.987316),(-0.015101| 0.082413| 0.095371),(-0.505121| 0.086434| -0.035999| -0.857955),(-0.020854| 0.077402| 0.110224),(-0.665295| 0.097486| -0.092487| -0.734388),(0.007180| 0.036301| 0.039739),(0.076961| -0.047788| -0.207903| 0.973945),(0.012310| 0.063072| 0.069523),(0.082926| -0.016176| -0.241053| 0.966827),(0.012999| 0.072123| 0.087851),(0.463305| -0.114457| -0.127374| 0.869496),(0.008761| 0.069748| 0.099857),(-0.640668| 0.160949| 0.053989| -0.748816)
0.080000,(-0.000026| 0.000153| -0.000044),(0.000550| -0.000368| 0.000597| 1.000000),(-0.033246| 0.006058| 0.015273),(0.288267| -0.711016| -0.385756| 0.512397),(-0.047001| 0.011969| 0.029156),(0.465378| -0.562720| -0.427326| 0.533069),(-0.067754| 0.021842| 0.054436),(0.416181| -0.504594| -0.498402| 0.569012),(-0.075792| 0.027575| 0.072909),(0.316426| -0.386346| -0.609530| 0.615699),(-0.035437| 0.043671| 0.028415),(0.057529| -0.048314| 0.083315| 0.993688),(-0.053423| 0.075443| 0.063183),(0.087443| -0.071478| 0.119490| 0.986391),(-0.064108| 0.085384| 0.084459),(0.389630| -0.030835| 0.203818| 0.897606),(-0.069273| 0.083438| 0.098290),(-0.521360| 0.009856| -0.236879| -0.819741),(-0.020701| 0.046199| 0.032048),(0.082766| -0.062175| -0.022541| 0.994372),(-0.031528| 0.079704| 0.068796),(0.091462| -0.073622| -0.008059| 0.993051),(-0.040228| 0.091049| 0.093626),(-0.463913| 0.073222| -0.106491| -0.876404),(-0.046200| 0.086443| 0.108758),(-0.652819| 0.067167| -0.167491| -0.735706),(-0.006060| 0.043546| 0.035447),(0.092676| -0.036290| -0.101793| 0.989814),(-0.009520| 0.073189| 0.070760),(0.126327| -0.053320| -0.079056| 0.987395),(-0.015231| 0.082418| 0.095413),(-0.503094| 0.085733| -0.035571| -0.859233),(-0.020982| 0.077470| 0.110290),(-0.663139| 0.096707| -0.092058| -0.736492),(0.007116| 0.036299| 0.039761),(0.077244| -0.047468| -0.207890| 0.973942),(0.012213| 0.063045| 0.069573),(0.082682| -0.015335| -0.241513| 0.966747),(0.012919| 0.072104| 0.087908),(0.462122| -0.113223| -0.128199| 0.870166),(0.008703| 0.069757| 0.099931),(-0.639062| 0.159594| 0.055095| -0.750396)
0.100000,(-0.000011| 0.000160| -0.000008),(-0.000051| -0.000822| -0.000002| 1.000000),(-0.033273| 0.006061| 0.015213),(0.288920| -0.711045| -0.385214| 0.512396),(-0.046983| 0.012026| 0.029119),(0.464279| -0.562707| -0.428114| 0.533408),(-0.067683| 0.021986| 0.054416),(0.415643| -0.505173| -0.498532| 0.568778),(-0.075739| 0.027772| 0.072875),(0.317067| -0.388163| -0.608898| 0.614851),(-0.035474| 0.043680| 0.028349),(0.057412| -0.048308| 0.083430| 0.993685),(-0.053519| 0.075517| 0.063031),(0.084930| -0.071851| 0.119215| 0.986616),(-0.064262| 0.085622| 0.084224),(0.384656| -0.031576| 0.203575| 0.899778),(-0.069494| 0.083844| 0.098053),(-0.515477| 0.010794| -0.236757| -0.823476),(-0.020745| 0.046211| 0.032004),(0.082823| -0.062177| -0.022383| 0.994371),(-0.031612| 0.079820| 0.068644),(0.088104| -0.073836| -0.008543| 0.993334),(-0.040336| 0.091432| 0.093386),(-0.457574| 0.073500| -0.105829| -0.879787),(-0.046357| 0.087083| 0.108580),(-0.645813| 0.067566| -0.166921| -0.741956),(-0.006109| 0.043560| 0.035430),(0.092863| -0.036299| -0.101622| 0.989814),(-0.009623| 0.073261| 0.070690),(0.124491| -0.053511| -0.078936| 0.987627),(-0.015365| 0.082648| 0.095305),(-0.499219| 0.085679| -0.035771| -0.861487),(-0.021136| 0.077849| 0.110224),(-0.659245| 0.096621| -0.092459| -0.739940),(0.007060| 0.036314| 0.039767),(0.077605| -0.047486| -0.207743| 0.973943),(0.012095| 0.063069| 0.069582),(0.082937| -0.015688| -0.241019| 0.966843),(0.012758| 0.072150| 0.087916),(0.461538| -0.113245| -0.127172| 0.870624),(0.008524| 0.069826| 0.099937),(-0.638376| 0.159518| 0.053789| -0.751091)
0.120000,(-0.000008| 0.000173| 0.000000),(-0.000214| -0.000996| -0.000127| 1.000000),(-0.033310| 0.006075| 0.015146),(0.289481| -0.711198| -0.384385| 0.512490),(-0.046980| 0.012102| 0.029066),(0.463198| -0.562982| -0.428455| 0.533784),(-0.067637| 0.022164| 0.054366),(0.415123| -0.506001| -0.498312| 0.568613),(-0.075711| 0.028010| 0.072807),(0.317684| -0.390106| -0.608091| 0.614101),(-0.035515| 0.043703| 0.028264),(0.057274| -0.048154| 0.083573| 0.993688),(-0.053610| 0.075623| 0.062847),(0.082291| -0.072021| 0.118886| 0.986868),(-0.064405| 0.085906| 0.083953),(0.379652| -0.032173| 0.203328| 0.901935),(-0.069703| 0.084301| 0.097781),(-0.509636| 0.011616| -0.236656| -0.827122),(-0.020791| 0.046235| 0.031942),(0.082879| -0.062072| -0.022187| 0.994377),(-0.031692| 0.079964| 0.068461),(0.084631| -0.073942| -0.009014| 0.993624),(-0.040440| 0.091858| 0.093107),(-0.451129| 0.073731| -0.105263| -0.883157),(-0.046510| 0.087774| 0.108362),(-0.638755| 0.067953| -0.166507| -0.748097),(-0.006162| 0.043582| 0.035395),(0.093072| -0.036228| -0.101417| 0.989818),(-0.009728| 0.073358| 0.070590),(0.122542| -0.053681| -0.078732| 0.987878),(-0.015502| 0.082917| 0.095162),(-0.495192| 0.085641| -0.036159| -0.863796),(-0.021298| 0.078277| 0.110123),(-0.655206| 0.096571| -0.093097| -0.743447),(0.006999| 0.036336| 0.039759),(0.078008| -0.047456| -0.207562| 0.973951),(0.011968| 0.063108| 0.069572),(0.083347| -0.016178| -0.240317| 0.966974),(0.012577| 0.072213| 0.087902),(0.461152| -0.113429| -0.125725| 0.871015),(0.008317| 0.069910| 0.099918),(-0.637973| 0.159629| 0.051922| -0.751541)
0.140000,(0.000001| 0.000179| -0.000004),(-0.001135| -0.001790| -0.001319| 0.999997),(-0.033349| 0.006184| 0.015020),(0.289024| -0.712859| -0.381704| 0.512445),(-0.046974| 0.012317| 0.028938),(0.461522| -0.564710| -0.427504| 0.534173),(-0.067553| 0.022551| 0.054233),(0.413717| -0.507653| -0.497607| 0.568783),(-0.075575| 0.028485| 0.072669),(0.316646| -0.391396| -0.607985| 0.613921),(-0.035495| 0.043850| 0.028046),(0.056849| -0.048188| 0.083914| 0.993682),(-0.053609| 0.076031| 0.062386),(0.077002| -0.072232| 0.117848| 0.987403),(-0.064430| 0.086552| 0.083326),(0.377648| -0.032700| 0.204332| 0.902531),(-0.069778| 0.085009| 0.097136),(-0.509678| 0.012136| -0.238618| -0.826524),(-0.020778| 0.046358| 0.031769),(0.082803| -0.062411| -0.021720| 0.994373),(-0.031670| 0.080347| 0.068049),(0.079566| -0.074093| -0.009984| 0.994022),(-0.040418| 0.092551| 0.092522),(-0.447505| 0.074731| -0.106154| -0.884809),(-0.046557| 0.088622| 0.107783),(-0.636396| 0.069334| -0.168522| -0.749529),(-0.006168| 0.043675| 0.035284),(0.093353| -0.036774| -0.100970| 0.989817),(-0.009782| 0.073599| 0.070351),(0.120634| -0.054435| -0.078262| 0.988109),(-0.015618| 0.083342| 0.094840),(-0.492661| 0.086971| -0.038080| -0.865027),(-0.021484| 0.078820| 0.109806),(-0.653358| 0.098170| -0.095942| -0.744501),(0.006957| 0.036403| 0.039716),(0.078647| -0.048202| -0.207144| 0.973952),(0.011878| 0.063262| 0.069460),(0.082771| -0.017377| -0.239628| 0.967174),(0.012434| 0.072458| 0.087744),(0.460242| -0.115115| -0.123229| 0.871631),(0.008108| 0.070190| 0.099731),(-0.639491| 0.162140| 0.047355| -0.750013)
0.160000,(-0.000090| 0.000582| -0.000218),(-0.004340| -0.002966| -0.003943| 0.999979),(-0.033427| 0.006493| 0.014806),(0.285951| -0.718084| -0.373935| 0.512601),(-0.046984| 0.012963| 0.028638),(0.456380| -0.572589| -0.421902| 0.534657),(-0.067456| 0.023752| 0.053788),(0.409411| -0.515773| -0.492730| 0.568839),(-0.075415| 0.029997| 0.072143),(0.313515| -0.399181| -0.605046| 0.613419),(-0.035352| 0.044270| 0.027525),(0.056349| -0.047720| 0.084947| 0.993646),(-0.053311| 0.077330| 0.061118),(0.059172| -0.072185| 0.113495| 0.989145),(-0.064087| 0.088870| 0.081496),(0.363285| -0.034640| 0.202775| 0.908684),(-0.069577| 0.087906| 0.095287),(-0.498105| 0.014818| -0.238547| -0.833527),(-0.020637| 0.046717| 0.031293),(0.082797| -0.063020| -0.020414| 0.994362),(-0.031203| 0.081869| 0.066514),(0.051911| -0.074506| -0.015858| 0.995742),(-0.039722| 0.095592| 0.090130),(0.428919| -0.077576| 0.105702| 0.893777),(-0.046001| 0.092414| 0.105465),(-0.626289| 0.073089| -0.172051| -0.756848),(-0.006067| 0.043962| 0.034913),(0.093992| -0.038127| -0.099814| 0.989823),(-0.009522| 0.074645| 0.069353),(0.104754| -0.055524| -0.079559| 0.989755),(-0.015290| 0.085276| 0.093383),(-0.484158| 0.090303| -0.041867| -0.869301),(-0.021280| 0.081128| 0.108376),(-0.650681| 0.102407| -0.103031| -0.745327),(0.006972| 0.036618| 0.039494),(0.079801| -0.050333| -0.205977| 0.973998),(0.012003| 0.063902| 0.068824),(0.072975| -0.019496| -0.239492| 0.967956),(0.012606| 0.073540| 0.086810),(0.455899| -0.119687| -0.118212| 0.873989),(0.008200| 0.071507| 0.098803),(-0.635895| 0.167121| 0.040395| -0.752381)
0.180000,(-0.000118| 0.000305| -0.000229),(-0.004832| -0.005108| -0.007701| 0.999946),(-0.033523| 0.006979| 0.014537),(0.278580| -0.726014| -0.363970| 0.512662),(-0.047022| 0.013853| 0.028230),(0.449384| -0.583339| -0.413915| 0.535205),(-0.067422| 0.025300| 0.053151),(0.404168| -0.526785| -0.485290| 0.568894),(-0.075374| 0.031895| 0.071387),(0.311030| -0.409676| -0.599690| 0.613024),(-0.034987| 0.044913| 0.026867),(0.054638| -0.047722| 0.086036| 0.993647),(-0.052837| 0.078670| 0.059815),(0.052275| -0.073963| 0.115493| 0.989170),(-0.063728| 0.090577| 0.079831),(0.363623| -0.038750| 0.210481| 0.906628),(-0.069395| 0.089670| 0.093550),(-0.499998| 0.020027| -0.248002| -0.829516),(-0.020275| 0.047180| 0.030759),(0.081913| -0.064463| -0.018894| 0.994373),(-0.030543| 0.083258| 0.065078),(0.035145| -0.076252| -0.017623| 0.996313),(-0.039014| 0.097801| 0.088011),(0.424423| -0.083787| 0.112996| 0.894470),(-0.045534| 0.094855| 0.103270),(-0.625967| 0.081109| -0.183219| -0.753669),(-0.005786| 0.044241| 0.034551),(0.094294| -0.040527| -0.098413| 0.989839),(-0.009114| 0.075402| 0.068574),(0.101389| -0.058249| -0.077947| 0.990077),(-0.015007| 0.086240| 0.092324),(-0.489700| 0.098249| -0.051643| -0.864797),(-0.021266| 0.081943| 0.107136),(-0.660617| 0.112299| -0.117069| -0.732987),(0.007084| 0.036735| 0.039345),(0.080994| -0.053560| -0.204594| 0.974019),(0.012420| 0.064343| 0.068301),(0.067285| -0.019574| -0.242406| 0.967641),(0.013181| 0.074231| 0.086046),(0.456966| -0.127684| -0.114081| 0.872848),(0.008620| 0.072305| 0.097988),(-0.637896| 0.178172| 0.032725| -0.748513)
0.200000,(-0.000190| 0.000680| -0.000565),(-0.007447| -0.000990| -0.005966| 0.999954),(-0.033563| 0.007415| 0.014492),(0.270414| -0.734860| -0.352534| 0.512423),(-0.047061| 0.014725| 0.027958),(0.442647| -0.597116| -0.402158| 0.534589),(-0.067457| 0.026908| 0.052527),(0.398140| -0.540837| -0.475192| 0.568483),(-0.075373| 0.033936| 0.070605),(0.305391| -0.422432| -0.593669| 0.613062),(-0.034562| 0.045549| 0.026253),(0.053758| -0.047327| 0.086612| 0.993664),(-0.052212| 0.080140| 0.058417),(0.043967| -0.077164| 0.118778| 0.988941),(-0.063243| 0.092683| 0.077950),(0.356614| -0.042962| 0.215905| 0.907946),(-0.069094| 0.092161| 0.091612),(-0.494392| 0.024485| -0.254349| -0.830833),(-0.019836| 0.047706| 0.030142),(0.081050| -0.065973| -0.017992| 0.994362),(-0.029762| 0.084647| 0.063604),(0.025121| -0.079229| -0.016460| 0.996404),(-0.038200| 0.099830| 0.085991),(0.423058| -0.088671| 0.119408| 0.893813),(-0.044864| 0.097088| 0.101213),(-0.628181| 0.086382| -0.191757| -0.749104),(-0.005393| 0.044644| 0.034014),(0.093892| -0.043385| -0.097831| 0.989814),(-0.008430| 0.076541| 0.067382),(0.093864| -0.062117| -0.076602| 0.990688),(-0.014339| 0.087807| 0.090735),(-0.494595| 0.105090| -0.059789| -0.860673),(-0.020770| 0.083457| 0.105435),(-0.669801| 0.119705| -0.128182| -0.721531),(0.007367| 0.037045| 0.038962),(0.080662| -0.057844| -0.203831| 0.973962),(0.013051| 0.065220| 0.067291),(0.056697| -0.023960| -0.242715| 0.968143),(0.013888| 0.075504| 0.084651),(0.459440| -0.137521| -0.106564| 0.871004),(0.009118| 0.073569| 0.096464),(-0.649652| 0.190814| 0.018188| -0.735671)
0.220000,(-0.000018| 0.000953| -0.000766),(-0.012921| -0.005036| -0.011957| 0.999833),(-0.033630| 0.008307| 0.014166),(0.256189| -0.749897| -0.330729| 0.512485),(-0.047202| 0.016198| 0.027230),(0.435078| -0.617763| -0.379266| 0.534073),(-0.067576| 0.029345| 0.051290),(0.389536| -0.558133| -0.459520| 0.570606),(-0.075159| 0.036874| 0.069258),(0.293813| -0.431133| -0.588984| 0.617168),(-0.033782| 0.046774| 0.024948),(0.051854| -0.046260| 0.088438| 0.993655),(-0.051188| 0.082565| 0.055900),(0.038435| -0.080660| 0.127524| 0.987803),(-0.062516| 0.095837| 0.074808),(0.349915| -0.049042| 0.228523| 0.907156),(-0.068694| 0.095795| 0.088352),(-0.488185| 0.031515| -0.268585| -0.829786),(-0.019050| 0.048692| 0.028930),(0.079705| -0.068247| -0.015367| 0.994361),(-0.028525| 0.086745| 0.061285),(0.022134| -0.082127| -0.011917| 0.996305),(-0.036992| 0.102569| 0.083134),(0.424820| -0.096410| 0.131265| 0.890507),(-0.043933| 0.100141| 0.098311),(-0.627872| 0.096154| -0.205319| -0.744564),(-0.004723| 0.045390| 0.033026),(0.093857| -0.048043| -0.095621| 0.989818),(-0.007358| 0.078136| 0.065617),(0.096069| -0.066542| -0.073187| 0.990448),(-0.013308| 0.089822| 0.088664),(-0.500775| 0.116068| -0.070883| -0.854827),(-0.020028| 0.085598| 0.103273),(-0.676091| 0.132964| -0.142278| -0.710618),(0.007803| 0.037621| 0.038298),(0.081310| -0.064923| -0.201349| 0.973978),(0.014104| 0.066449| 0.065815),(0.051878| -0.027278| -0.246333| 0.967411),(0.015274| 0.077221| 0.082796),(0.457644| -0.150195| -0.102166| 0.870383),(0.010378| 0.075664| 0.094611),(-0.648350| 0.207234| 0.009289| -0.732536)
